account_id,is_written_off,is_unlocked,amount_paid,price_unlock,pct_paid
661,False,True,6300,6300,100.0
662,False,False,5762,6300,91.0
663,False,False,6476,6300,103.0
664,False,True,6300,6300,100.0
665,False,False,5550,6300,88.0
666,False,True,6300,6300,100.0
667,False,False,5683,6300,90.0
668,False,True,6300,6300,100.0
669,False,False,1500,6600,23.0
670,False,False,2250,6600,34.0
671,False,False,2250,6600,34.0
672,False,False,-1752,6600,-27.0
673,False,False,-1796,6600,-27.0
674,False,True,6600,6600,100.0
675,False,False,1500,6600,23.0
676,False,False,2250,6600,34.0
677,False,False,2250,6600,34.0
678,False,False,-1752,6600,-27.0
679,False,True,6600,6600,100.0
680,False,False,2250,6600,34.0
681,False,False,2250,6600,34.0
682,False,True,6600,6600,100.0
683,False,False,-2448,6600,-37.0
684,False,True,6600,6600,100.0
685,False,False,-2187,6600,-33.0
686,False,False,-2448,6600,-37.0
687,False,True,6600,6600,100.0
688,False,False,2250,6600,34.0
689,False,False,1500,6600,23.0
690,False,True,6600,6600,100.0
691,False,True,6600,6600,100.0
692,False,True,6600,6600,100.0
693,False,False,2250,6600,34.0
694,False,False,2250,6600,34.0
695,False,False,2250,6600,34.0
696,False,True,6600,6600,100.0
697,False,True,6600,6600,100.0
698,False,False,1500,6600,23.0
699,False,False,2250,6600,34.0
700,False,False,2250,6600,34.0
701,False,False,-1839,6600,-28.0
702,False,False,-2318,6600,-35.0
703,False,False,2250,6600,34.0
704,False,False,2250,6600,34.0
705,False,False,2250,6600,34.0
706,False,True,6600,6600,100.0
707,False,False,2250,6600,34.0
708,False,False,2250,6600,34.0
709,False,False,2250,6600,34.0
710,False,False,3900,6600,59.0
711,False,True,6600,6600,100.0
712,False,False,6357,6600,96.0
713,False,False,3900,6600,59.0
714,False,False,6411,6600,97.0
715,False,True,6600,6600,100.0
716,False,False,3900,6600,59.0
717,False,False,3900,6600,59.0
718,False,False,2600,6600,39.0
719,False,True,6600,6600,100.0
720,False,True,6600,6600,100.0
721,False,False,1389,6600,21.0
722,False,False,2600,6600,39.0
723,False,False,3900,6600,59.0
724,False,True,6600,6600,100.0
725,False,False,3900,6600,59.0
726,False,False,6330,6600,96.0
727,False,True,6600,6600,100.0
728,False,False,3900,6600,59.0
729,False,True,6330,6600,96.0
730,False,False,3900,6600,59.0
731,False,False,3900,6600,59.0
732,False,False,3900,6600,59.0
733,False,True,6600,6600,100.0
734,False,False,3900,6600,59.0
735,False,True,6600,6600,100.0
736,False,False,3900,6600,59.0
737,False,True,6330,6600,96.0
738,False,False,1362,6600,21.0
739,False,True,6600,6600,100.0
740,False,False,3900,6600,59.0
741,False,False,3900,6600,59.0
742,False,False,3900,6600,59.0
743,False,False,3900,6600,59.0
744,False,False,3900,6600,59.0
745,False,False,3900,6600,59.0
746,False,False,3900,6600,59.0
747,False,True,6600,6600,100.0
748,False,False,2600,6600,39.0
749,False,False,3900,6600,59.0
750,False,False,3900,6600,59.0
751,False,True,9049,9100,99.0
752,False,False,8851,9100,97.0
753,False,False,9055,9100,100.0
754,False,True,9038,9100,99.0
755,False,True,9100,9100,100.0
756,False,True,9100,9100,100.0
757,False,False,4376,9100,48.0
758,False,True,8668,9100,95.0
759,False,True,9100,9100,100.0
760,False,True,8806,9100,97.0
761,False,False,8483,9100,93.0
762,False,False,4983,5200,96.0
763,False,False,4801,5200,92.0
764,False,False,4625,5200,89.0
765,False,False,5025,5200,97.0
766,False,False,4520,5200,87.0
767,False,True,5200,5200,100.0
768,False,False,4117,5200,79.0
769,False,False,4642,5200,89.0
770,False,False,4032,5200,78.0
771,False,True,5200,5200,100.0
772,False,False,5055,5200,97.0
